4.91797, 87.61166
7.11901, 85.09294
9.02658, 82.57141
10.78742, 79.95650
12.40152, 77.15854
13.72214, 74.64822
14.89603, 72.05945
16.06992, 69.31379
17.09708, 66.43738
17.97750, 63.92706
18.85791, 61.41674
19.73833, 58.85413
20.44267, 55.85220
21.49917, 52.99672
22.43828, 49.84089
23.26000, 46.69477
24.43389, 43.58302
25.31431, 40.64124
26.19473, 37.72561
27.36862, 34.64001
28.39577, 31.73745
29.12945, 30.40385
40.00000,
94.86730, 31.36763
96.18793, 34.16932
97.36182, 36.79731
98.68244, 39.75478
